"Astrocytes1" "Astrocytes2" "Endothelial1" "Endothelial2" "Microglia1" "Microglia2" "MO1" "MO2" "Neuron1" "Neuron2" "NFO1" "NFO2" "OPC1" "OPC2" "WC1" "WC2" "WC3"
"XLOC_000213" 219 126 252 271 324 378 159 174 189 143 107 235 204 294 54 84 0
"XLOC_000214" 294 324 143 189 0 54 126 84 219 204 107 174 159 378 235 271 252
"XLOC_000215" 378 324 84 126 143 189 107 235 174 0 54 159 219 204 252 271 294
"XLOC_000216" 252 294 378 324 84 54 235 219 0 174 189 271 107 204 126 143 159
"XLOC_000217" 252 294 54 0 84 159 378 174 271 324 204 107 126 143 189 219 235
"XLOC_000218" 84 126 54 0 271 252 107 143 174 159 235 294 324 378 219 189 204
"XLOC_000219" 0 54 378 324 235 189 294 252 204 174 271 219 107 143 126 84 159
"XLOC_000220" 252 159 84 54 126 271 378 324 204 0 219 294 107 235 143 189 174
"XLOC_000221" 143 84 189 159 252 271 378 324 219 204 235 294 107 174 0 54 126
"XLOC_000222" 126 189 174 159 294 0 54 204 324 378 235 252 84 107 271 143 219
"XLOC_000223" 378 324 0 54 204 235 159 294 126 143 84 107 271 252 174 219 189
"XLOC_000224" 235 84 294 324 378 271 252 189 143 107 204 219 0 174 126 159 54
"XLOC_000225" 271 235 126 84 0 54 378 324 204 219 294 252 143 107 174 189 159
"XLOC_000226" 378 324 189 174 107 54 126 0 159 204 271 84 294 143 219 235 252
"XLOC_000227" 378 324 107 0 189 252 204 219 174 143 84 54 126 159 271 294 235
"XLOC_000228" 294 252 174 0 324 378 54 271 189 204 84 107 219 126 235 143 159
"XLOC_000229" 143 126 271 252 324 378 159 174 0 54 84 107 294 204 189 235 219
"XLOC_000230" 378 271 235 189 252 324 294 204 159 219 143 174 84 0 107 54 126
"XLOC_000231" 143 159 204 235 324 378 174 271 107 126 294 0 84 54 252 189 219
"XLOC_000232" 84 54 235 189 378 324 294 271 219 204 0 143 126 107 174 252 159
"XLOC_000233" 174 204 54 0 378 324 143 189 126 159 107 84 252 219 271 294 235
"XLOC_000234" 54 107 252 235 0 84 159 174 143 126 271 378 294 324 219 204 189
"XLOC_000235" 54 143 126 107 84 0 378 324 174 159 294 271 204 252 219 235 189
"XLOC_000236" 126 143 378 324 84 174 107 159 54 0 219 252 271 294 204 189 235
"XLOC_000237" 107 84 189 219 294 271 324 235 159 174 204 378 143 252 126 54 0
"XLOC_000238" 0 252 54 84 378 324 294 107 126 143 159 174 271 189 204 219 235
"XLOC_000239" 84 126 271 294 324 378 0 143 107 54 189 219 235 174 159 204 252
"XLOC_000240" 143 126 378 324 252 159 0 54 189 294 107 84 271 204 235 174 219
"XLOC_000241" 204 189 54 0 252 378 84 107 271 294 174 219 235 324 143 159 126
"XLOC_000242" 204 159 189 219 378 324 294 252 107 271 174 235 126 143 54 84 0
"XLOC_000243" 324 235 143 271 219 0 54 84 378 107 294 126 204 174 252 159 189
"XLOC_000244" 159 143 219 235 294 378 324 271 54 126 189 252 174 204 84 107 0
"XLOC_000245" 0 219 235 54 84 107 378 271 204 126 324 294 143 159 189 174 252
"XLOC_000246" 252 235 324 271 126 0 204 54 378 174 219 143 159 107 294 84 189
"XLOC_000247" 294 324 204 174 107 0 84 54 271 378 159 143 219 126 235 189 252
"XLOC_000248" 219 204 54 0 107 84 378 324 235 174 271 294 159 252 143 189 126
"XLOC_000249" 174 0 324 159 235 189 54 84 204 143 107 126 271 219 252 294 378
"XLOC_000250" 143 126 0 54 84 107 294 235 378 324 219 271 189 252 204 159 174
